,CommitTime,CommitMessage,CommitID,ReadingError,axioms,reasonerActive,logicalAxioms,subClassOfAxioms,inverseObjectPropertyAxioms,objectPropertiesOnClasses,OntoQA_Cohesion,OntoQA_Relationship_Richness,OntoQA_Relationship_Diversity,OntoQA_Class_Utilization,OntoQA_Class_Inheritance_Richness,OntoQA_Attribute_Richness,OntoQA_Schema_Deepness,individuals,classes,classesWithIndividuals,created,repository,fileName,branch,wholeRepositoryAnalyzed
27,2020-09-11 19:07:25+00:00,"release 2020-09-11
",37a32a34bfefa5a1d669cba742624bc6d38494d0,,16965,False,2758,1634,1,488,1,0.7700282752120641,0.7700282752120641,0.0,0.8968166849615807,0.0,0.8968166849615807,0,1822,0,2022-04-01T19:07:19.152464+00:00,github.com/evidenceontology/evidenceontology,eco-base.owl,,True
28,2020-11-08 22:00:58+00:00,"release 2020-11-08
",257566a4d2039c3c8f24989907f7f3f409da80cc,,17011,False,2769,1643,1,491,1,0.7699156513589503,0.7699156513589503,0.0,0.8997809419496167,0.0,0.8997809419496167,0,1826,0,2022-04-01T19:07:19.152464+00:00,github.com/evidenceontology/evidenceontology,eco-base.owl,,True
29,2021-01-08 20:31:17+00:00,"release 2021-01-08
",fc7ac3f7031a431c7a552c1acfc17137ad780725,,17011,False,2769,1643,1,491,1,0.7699156513589503,0.7699156513589503,0.0,0.8997809419496167,0.0,0.8997809419496167,0,1826,0,2022-04-01T19:07:19.152464+00:00,github.com/evidenceontology/evidenceontology,eco-base.owl,,True
30,2021-02-06 00:46:26+00:00,"release 2021-02-05
",71ba0a0d9ce7d1a058b495a4705d37ce57e83785,,17045,False,2776,1648,1,493,1,0.7697337692666978,0.7697337692666978,0.0,0.9010388190267906,0.0,0.9010388190267906,0,1829,0,2022-04-01T19:07:19.152464+00:00,github.com/evidenceontology/evidenceontology,eco-base.owl,,True
31,2021-02-08 20:10:00+00:00,"release 2021-02-08
",afd3b8aeefc3f0d88494f6c7e473bc4076e3016a,,17049,False,2776,1648,1,493,1,0.7697337692666978,0.7697337692666978,0.0,0.9010388190267906,0.0,0.9010388190267906,0,1829,0,2022-04-01T19:07:19.152464+00:00,github.com/evidenceontology/evidenceontology,eco-base.owl,,True
32,2021-03-05 19:05:40+00:00,"release 2021-03-05
",9c03bbfd19e5fa388b98cce61f6f970ae79aaa0e,,17049,False,2776,1648,1,493,1,0.7697337692666978,0.7697337692666978,0.0,0.9010388190267906,0.0,0.9010388190267906,0,1829,0,2022-04-01T19:07:19.152464+00:00,github.com/evidenceontology/evidenceontology,eco-base.owl,,True
33,2021-05-07 19:47:15+00:00,"release 2021-05-07
",7fb027ce8b1faea5ecb475f43bf370aa1c35a517,,17775,False,2947,1771,1,541,1,0.7660034602076125,0.7660034602076125,0.0,0.9316149395055234,0.0,0.9316149395055234,0,1901,0,2022-04-01T19:07:19.152464+00:00,github.com/evidenceontology/evidenceontology,eco-base.owl,,True
34,2021-06-04 20:56:11+00:00,"release 2021-06-04
",ba6fd608a9d775ec1ab4d4d002640b5e0560b253,,17775,False,2947,1771,1,541,1,0.7660034602076125,0.7660034602076125,0.0,0.9316149395055234,0.0,0.9316149395055234,0,1901,0,2022-04-01T19:07:19.152464+00:00,github.com/evidenceontology/evidenceontology,eco-base.owl,,True
35,2021-07-02 19:50:07+00:00,"release 2021-07-02
",b7235478caf2ee2d8563e889b465863f9bf80dc5,,17775,False,2947,1771,1,541,1,0.7660034602076125,0.7660034602076125,0.0,0.9316149395055234,0.0,0.9316149395055234,0,1901,0,2022-04-01T19:07:19.152464+00:00,github.com/evidenceontology/evidenceontology,eco-base.owl,,True
36,2021-08-12 15:23:21+00:00,"release 2021-08-12
",e52c6d895a56ec72dbffd2b51c63f51897889d80,,19835,False,3141,1910,1,594,1,0.762779552715655,0.762779552715655,0.0,0.9622166246851386,0.0,0.9622166246851386,0,1985,0,2022-04-01T19:07:19.152464+00:00,github.com/evidenceontology/evidenceontology,eco-base.owl,,True
